pattern_number, centre, delta_centre, fwhm, delta_fwhm, left_hwhm, delta_left_hwhm, right_hwhm, delta_right_hwhm, height, delta_height, lshape, delta_lshape, rshape, delta_rshape, info
9, 7.85959, 3.51334e-05, 0.01216643, 5.319143735574365e-05, 0.00708075, 3.96786e-05, 0.00508568, 3.54251e-05, 87.9735, 0.256429, 1.33006, 0.00869199, 1.30834, 0.0103114, 'SS316L'
9, 9.21472, 5.85837e-05, 0.01650811, 8.939983609185198e-05, 0.00908093, 6.50082e-05, 0.00742718, 6.13699e-05, 47.3625, 0.161919, 1.32169, 0.0119104, 1.46532, 0.016978, 'SS316L'
9, 9.62479, 0.000165615, 0.012075869999999999, 0.00026814360303762606, 0.00700753, 0.000198219, 0.00506834, 0.000180583, 6.05668, 0.0713801, 1.41544, 0.0757136, 1.47251, 0.100429, 'SS316L'
9, 11.1155, 0.000515254, 0.02232647, 0.0009131388962649659, 0.0130746, 0.000668836, 0.00925187, 0.000621676, 1.52114, 0.028781, 1.31247, 0.149647, 1.23556, 0.163104, 'SS316L'
9, 12.1074, 5.56233e-05, 0.01534764, 8.633054790976366e-05, 0.00857137, 6.32596e-05, 0.00677627, 5.87468e-05, 44.9164, 0.162769, 1.21185, 0.0104098, 1.25497, 0.0129193, 'SS316L'
9, 12.423, 0.000228433, 0.0220261, 0.00037551237003592843, 0.0117405, 0.000270893, 0.0102856, 0.000260051, 5.47097, 0.0503699, 1.14834, 0.041524, 1.43289, 0.0714479, 'SS316L'
10, 4.81544, 1.35989e-05, 0.00757825, 1.8801191182741586e-05, 0.00440744, 1.40467e-05, 0.00317081, 1.2497e-05, 994.167, 1.62534, 1.62136, 0.00656525, 1.49244, 0.00663225, 'SS316L'
10, 5.5609, 4.59876e-05, 0.012482980000000001, 6.865409432291711e-05, 0.00699868, 5.05013e-05, 0.0054843, 4.65081e-05, 128.069, 0.474329, 1.39719, 0.0122103, 1.45178, 0.015415, 'SS316L'
10, 7.85697, 4.40163e-05, 0.01145057, 6.59975289676818e-05, 0.00624251, 4.8219e-05, 0.00520806, 4.50622e-05, 123.462, 0.484538, 1.31364, 0.0112101, 1.31356, 0.0125602, 'SS316L'
10, 9.21608, 0.000114917, 0.01656663, 0.00017909108621034158, 0.00940195, 0.000131178, 0.00716468, 0.000121926, 30.2776, 0.203552, 1.277, 0.0230215, 1.37666, 0.0323182, 'SS316L'
10, 9.62315, 4.86326e-05, 0.0108716, 7.328140660665569e-05, 0.00626858, 5.31367e-05, 0.00460302, 5.04644e-05, 99.1446, 0.445797, 1.3387, 0.0134549, 1.32293, 0.0163475, 'SS316L'
10, 11.1171, 0.000212496, 0.02322386, 0.00033909960341026646, 0.0132495, 0.000247948, 0.00997436, 0.000231323, 13.6144, 0.116518, 1.29968, 0.0368345, 1.29894, 0.0441467, 'SS316L'
10, 12.1078, 0.000216268, 0.01690402, 0.0003492951553586165, 0.00964635, 0.000255206, 0.00725767, 0.000238489, 9.89825, 0.117083, 1.24204, 0.0505316, 1.27577, 0.0639254, 'SS316L'
10, 12.4237, 0.000379412, 0.02062975, 0.0006306191163182417, 0.0111054, 0.000455121, 0.00952435, 0.000436515, 4.53972, 0.0745638, 1.11635, 0.0720541, 1.29712, 0.108408, 'SS316L'
